accession,c1,c2,filter_len,min_len,refine,n_pred,precision,recall,f1,accuracy,mcc,TP,FP,TN,FN,mabe,median_jaccard
NC_000907.1,0.15,0.05,200,10000,True,9,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.05,400,8000,False,4,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.05,400,8000,True,3,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.05,400,10000,False,4,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.05,400,10000,True,3,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.05,600,8000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.05,600,8000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.05,600,10000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.05,600,10000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.1,200,8000,False,18,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.1,200,8000,True,13,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.1,200,10000,False,18,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.1,200,10000,True,12,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.1,400,8000,False,6,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.1,400,8000,True,5,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.1,400,10000,False,6,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.1,400,10000,True,5,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.1,600,8000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.1,600,8000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.1,600,10000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.1,600,10000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.2,200,8000,False,23,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.2,200,8000,True,17,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.2,200,10000,False,22,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.2,200,10000,True,14,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.2,400,8000,False,14,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.2,400,8000,True,13,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.2,400,10000,False,14,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.2,400,10000,True,12,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.2,600,8000,False,9,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.2,600,8000,True,8,100.0,76.35095874491574,86.58978583196047,88.16998023485641,0.78572980382216,6570,0,8597,2035,35732.5,0.08419299032485424
NC_000907.1,0.15,0.2,600,10000,False,9,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.2,600,10000,True,8,100.0,76.35095874491574,86.58978583196047,88.16998023485641,0.78572980382216,6570,0,8597,2035,35732.5,0.08419299032485424
NC_000907.1,0.2,0.1,200,8000,False,20,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.2,0.1,200,8000,True,16,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.2,0.1,200,10000,False,20,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.2,0.1,200,10000,True,16,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.2,0.1,400,8000,False,9,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.2,0.1,400,8000,True,9,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.2,0.1,400,10000,False,9,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.2,0.1,400,10000,True,9,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.2,0.1,600,8000,False,8,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.2,0.1,600,8000,True,7,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.2,0.1,600,10000,False,8,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.2,0.1,600,10000,True,7,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.2,0.25,200,8000,False,23,50.02325311010347,100.0,66.687332894176,50.02325311010347,0.0,8605,8597,0,0,44797.5,0.08762729124236253
NC_000907.1,0.2,0.25,200,8000,True,17,51.24158875722027,100.0,67.76124104260178,52.40088361818393,0.15613471827901784,8605,8188,409,0,38197.5,0.10123529411764706
NC_000907.1,0.2,0.25,200,10000,False,23,50.02325311010347,100.0,66.687332894176,50.02325311010347,0.0,8605,8597,0,0,44797.5,0.08762729124236253
NC_000907.1,0.2,0.25,200,10000,True,16,51.24158875722027,100.0,67.76124104260178,52.40088361818393,0.15613471827901784,8605,8188,409,0,38197.5,0.10123529411764706
NC_000907.1,0.2,0.25,400,8000,False,12,50.02325311010347,100.0,66.687332894176,50.02325311010347,0.0,8605,8597,0,0,38447.5,0.10064327485380117
NC_000907.1,0.2,0.25,400,8000,True,10,40.48553568832679,64.72980825101685,49.81442561373697,34.75758632717126,-0.38125941314449646,5570,8188,409,3035,35732.5,0.07230479652106185
NC_000907.1,0.2,0.25,400,10000,False,12,50.02325311010347,100.0,66.687332894176,50.02325311010347,0.0,8605,8597,0,0,38447.5,0.10064327485380117
NC_000907.1,0.2,0.25,400,10000,True,10,40.48553568832679,64.72980825101685,49.81442561373697,34.75758632717126,-0.38125941314449646,5570,8188,409,3035,35732.5,0.07230479652106185
NC_000907.1,0.2,0.25,600,8000,False,11,100.0,65.31086577571179,79.0158172231986,82.64736658528078,0.6962647418963371,5620,0,8597,2985,37782.5,0.06922461045759684
NC_000907.1,0.2,0.25,600,8000,True,10,100.0,76.35095874491574,86.58978583196047,88.16998023485641,0.78572980382216,6570,0,8597,2035,35232.5,0.0852859090024015
NC_000907.1,0.2,0.25,600,10000,False,11,100.0,65.31086577571179,79.0158172231986,82.64736658528078,0.6962647418963371,5620,0,8597,2985,37782.5,0.06922461045759684
NC_000907.1,0.2,0.25,600,10000,True,10,100.0,76.35095874491574,86.58978583196047,88.16998023485641,0.78572980382216,6570,0,8597,2035,35232.5,0.0852859090024015
AC_000091.1,0.05,0.05,200,8000,False,23,48.24934554973822,79.35596717047136,60.0111923213892,91.40182894813604,0.5767406680196522,17694,18978,232981,4603,7859.5,0.2997919901200233
